,addr:city,addr:housenumber,addr:postcode,addr:street,ais,amenity,in:pois,lat,lon,name
5704546,Fortaleza,s/n,,Rua 820,2,school,True,-3.768864179987868,-38.60062739557691,E.E.M. Professor José Maria Campos de Oliveira (UV8 A)
5704552,Fortaleza,s/n,,Rua 143,2,school,True,-3.771856633333333,-38.60806873333333,E.M.E.I.F. Governador Faustino de Albuquerque (UV1)
5704554,Fortaleza,s/n,,Rua 218,2,school,True,-3.7650920767995664,-38.60796538371835,E.E.F.M. Gentil Barreira (UV2)
5704558,Fortaleza,s/n,,Rua 814,2,school,True,-3.7683128333333333,-38.59947403333332,E.M.E.I.F Padre Arimateia Diniz (UV8 B)
5706607,Fortaleza,s/n,,Rua 315,2,school,True,-3.773813266666666,-38.61392669999999,E.M.E.I.F. Edilson Brasil Soarez (UV3)
5739512,Fortaleza,,,Rua 1107,2,school,True,-3.7619702000000004,-38.611534166666665,Centro de Estudo Espedito Rosa
5755984,Fortaleza,719,,Rua 719,2,school,True,-3.771930733333334,-38.60212800000001,E.E.F.M. Professor Plácido Aderaldo Castelo (UV7 A)
5755990,Fortaleza,s/n,,Rua 751,2,school,True,-3.7740159203772983,-38.601310614725634,E.E.F.M Doutor Ubirajara Índio do Cearárá (UV7 B)
5793441,Fortaleza,2103,,Avenida H,2,school,True,-3.7769713333333335,-38.61716096666667,Escola Municipal Francisco Edmilson Pinheiro
8787088,Fortaleza,,60876-670,Avenida Oscar Araripe,2,school,True,-3.785738257414974,-38.618034024220364,EEFM Michelson Nobre da Silva
8787096,,1366,60540-258,Rua B,2,school,True,-3.789091517554879,-38.62961671083997,Escola de Tempo Parcial João Mendes de Andrade
